HIMNO,NOMBRE,RITMO,LINK,LYRICS
80,Dad al Padre toda gloria,I WILL PRAISE HIM,,
81,Alabad a nuestro Dios en su santuario,ACAPULCO,,
82,"Cantad alegres a Dios, habitantes de toda la tierra",,,
83,"Al Padre alabad, al Hijo load (¡Shalom javerim! ¡Shalom javerim!)",SHALOM CHAVERIM,,
84,Entraré por sus puertas con cantos de loor,I WILL ENTER,,
85,Dios está aquí,DIOS ESTA AQUI,,
86,"Yo te exalto, Dios mi Padre",I EXALT YOU,,
87,Dios es espíritu,,,
88,"Venid, nuestras voces con gozo unamos",KREMSER,,
89,Vine a alabar a Dios,ROMERO,,
90,"Te exaltaré, mi Dios, mi Rey",TE EXALTARE,,
91,"Señor, ¿quién entrará en tu santuario para adorar?",ADORACION,,
92,¡El cielo canta alegría!,ALEGRÍA,,
93,"Aleluya, aleluya",ALLELUIA,,
94,Por la mañana yo dirijo mi alabanza,AVENIDA BOLIVAR,,
95,Ante su presencia canta,HIS PRESENCE,,
96,Me despierto con ganas de verlo,PRIMICIAS,,
97,"Señor, Señor, tú antes, tú después, tú en la inmensa",,,
98,"Te amo, Rey, y levanto mi voz",I LOVE YOU LORD,,
99,Quiero alabarte más y más aún,I WANT TO PRAISE YOU,,
100,En mi vida gloria te doy,BE GLORIFIED,,
101,"Bendice, alma mía, bendice al Señor",HOLY NAME,,
102,"Canta, canta, alma mía",REGENT SQUARE,,
103,A Jehová cantaré en mi vida,,,
104,"Nunca, Dios mío, cesará mi labio",FLEMMING,,
105,Alabad al Rey del cielo,BRYN CALFARIA,,
106,"Rey de reyes, Señor de señores",KING OF KINGS,,
107,"Al Rey adorad, grandioso Señor",LYONS,,
108,"Jubilosos, te adoramos",HYMN TO JOY,,
109,José subió de Galilea,,,
110,"Y tú Belén, tierra de Judá",PEREZ,,
111,"Oh, ven, oh ven, bendito Emanuel",VENI EMMANUEL,,
112,"Dios nos amó, a su Hijo dio",EMMANUEL,,
113,Despunta el alba del nuevo día,,,
114,¡Suenen dulces himnos gratos al Señor,RING THE BELLS,,
115,"Venid pastores, venid, oh venid a Belén",VENID PASTORES,,
116,"¡Oh, pueblecito de Belén, durmiendo en dulce paz!",ST. LOUIS,,
117,Porque un niño nos es nacido,PORQUE UN NIÑO,,
118,"¡Al mundo paz, nacío Jesús!",ANTIOCH,,
119,¡Gloria a Dios en las alturas!,ST. GEORGE'S WINDSOR,,
120,"¡Oh, santísimo, felicísimo",SICILIAN MARINERS,,
121,"Venid, pastorcillos, venid a adorar",HIDING IN THEE,,
122,"Ángeles, alzad el canto",REGENT SQUARE,,
123,Ved al niñito en un pesebre,BUNESSAN,,
124,Al rústico pesebre,CRADLE SONG,,
125,"Cristianos, hoy cantad a Dios",IN DULCE JUBILO,,
126,Oíd un son en alta esfera,MENDELSSOHN,,
127,En la noche los pastores,PASTORES VELAN,,
128,¿Qué niño es el que tierno duerme en brazos de María?,GREENSLEEVES,,
129,"Allá en el pesebre, do nace Jesús",AWAY IN A MANGER,,
130,Ángeles cantando están,GLORIA,,
131,"Santa la noche, hermosas las estrellas",CANTIQUE DE NOEL,,
132,"Oh, niños de todos los pueblos venid",IHR KINDERLEIN KOMMET,,
133,"¡Noche de paz, noche de amor!",STILLE NACHT,,
134,Nuestra patria canta alegre,NAVIDAD CHAPINA,,
135,En Belén nació Jesús,MICHAEL'S BOAT,,
136,Campanas por doquier,JINGLE BELLS,,
137,De tierra lejana venimos a verle,ISLA DEL ENCANTO,,
138,Tras hermoso lucero,HERMOSO LUCERO,,
139,Tú dejaste tu trono y corona por mí,ROOM FOR THEE,,
140,"Venid, fieles todos",ADESTE FIDELES,,
141,"Oveja perdida, ven",,,
142,Maravilloso es,MIEIR,,
143,"Jesús, el buen Pastor, mostrando su tierno amor",JESUS O BOM PASTOR,,
144,Cristo tanto me amó,LAMB OF GLORY,,
145,Gloria por siempre al Cordero de Dios,GLORIA POR SIEMPRE,,
146,"El es Señor, él es Señor",HE IS LORD,,
147,Yo sé que Cristo salvó mi alma,GLORIA A TU NOMBRE,,
148,Algunos nombres de Cristo,,,
149,En el nombre de Jesús se doble,MALACATAN,,
150,Cristo es la peña de Horeb que está brotando,PEÑA DE HOREB,,
151,"Cristo, nombre glorioso",HEARN,,
152,Jesús es la roca de mi salvación,ROCA,,
153,¡Oh Cristo! nuestra Roca aquí,SHELTER,,
154,"Cristo, cual pastor, oh guía",BRADBURY,,
155,Él es la imagen del Dios invisible,CALCEDONIA,,
156,Hay un canto nuevo en mi ser,SWEETEST NAME,,
157,El mundo perdido en pecado se vio,LIGHT OF THE WORLD,,
158,Yo soy la luz del mundo,ASCENCIO,,
159,Fruto del amor divino,DIVINUM MISTERIUM,,
160,"Grande amor, sublime, eterno",PARLEPORTEN,,
161,Que Cristo me haya salvado,MY SAVIOR'S LOVE,,
162,¿Quién nos separará de amor de Cristo?,,,
163,Yo cantaré de mi Jesucristo,MY REDEEMER,,
164,¡Oh qué amor! ¡Qué inmenso amor!,INMENSO AMOR,,
165,¡Gracia admirable del Dios de amor,MOODY,,
166,Maravilloso es el gran amor,SAGINA,,
167,En tu presencia hay consuelo,PRESENCE,,
168,De su trono a un pesebre,REDEEMING LOVE,,
169,Demos gracias al Señor,DEMOS GRACIAS,,
170,Yo quisiera hablarte del amor de Cristo,WEIGLE,,
171,Con qué pagaremos,PAGAREMOS,,
172,Gracias dad a Jesucristo,TAK O GUD,,
173,Dime la historia de Cristo,STORY OF JESUS,,
174,¡Qué bella historia! de su excelsa gloria,O SOLE MIO,,
175,"¡Oh amor, profundo, inmenso amor!",RETREAT,,
176,En la cruz murió mi Jesús,VIDA ABUNDANTE,,
177,Quién es el que en Belén,WHO IS HE,,
178,"¡Maestro, se encrespan las aguas y ruge la tempestad!",PEACE BE STILL,,
179,A la casa de Jairo iba Jesús,JAIRO,,
180,"""De tu cántaro dame, dame tú de beber""",SAMARITANA,,
181,Cuando el ciego escuchó,BARTIMEO,,
182,"Al comenzar su ministerio, Jesús tenía como treinta años",,,
183,Tierra bendita y divina,PALESTINA,,
184,Palmas y flores que se ven brotar,LES RAMEAUX,,
185,"Hay poder, esperanza y amor",NAME OF THE LORD,,
186,Mantos y palmas esparciendo va,¡HOSANNA!,,
187,Cabalga majestuoso,LANCASHIRE,,
188,"Al día siguiente, cuando oyeron que Jesús venía a Jerusalén",,,
189,"Santo, santo, santo es el Señor",HOSANNA,,
190,Una noche con la luna,JERUSALEN,,
191,"¿Qué quiero, mi Jesús? . . . Quiero quererte",,,
192,Cristo nuestra ofrenda es,LEVITICO,,
193,A solas en Getsemaní el Salvador sufrió,GRIGGS,,
194,Antes de las fiesta de la Pascua,,,
195,¡Rasgóse el velo! ya no más,EVAN,,
196,El Varón de gran dolor,HALLELUJAH! WHAT A SAVIOR,,
197,Mirad al Salvador Jesús,GATE AJAR,,
198,Mi vida di por ti,KENOSIS,,
199,En la vergonzosa cruz,CROSS OF CALVARY,,
200,Los principales sacerdotes y los ancianos persuadieron,,,
201,"Pies divinos, pies divinos",PIES DIVINOS,,
202,Padeció una sola vez mi Cristo,PADECIO,,
203,Cabeza ensangrentada,PASSION CHORALE,,
204,"Venid, unidos el pendón llevad",CRUCIFER,,
205,"""Padre, perdónalos, porque no saben lo que hacen.""",,,
206,"Ese triste día, mi Jesús sufría",LAS SIETE PALABRAS,,
207,Junto a la cruz de Cristo,ST. CHRISTOPHER,,
208,Un día que el cielo sus glorias cantaba,CHAPMAN,,
209,"Manos cariñosas, manos de Jesús",MANOS CARINOSAS,,
210,Con pena amarga fui a Jesús,HUDSON,,
211,"¡Jesucristo, mi Señor! Me asombra el hecho",,,
212,La tumba le encerró,CHRIST AROSE,,
213,"Resucitó Jesús, la tumba abierta está",LEONI,,
214,Y el primer día de la semana,,,
215,"El Señor resucitó, ¡Aleluya!",EASTER HYMN,,
216,¡Aleluya! Gloria a Cristo,HYFRYDOL,,
217,"¡Gloria, gloria al Vencedor!",LLANFAIR,,
218,Jesucristo ya venció la muerte,RESUCITÓ,,
219,Resucitó Jesús el Señor,PALESTRINA (VICTORY),,
220,A ti la gloria ¡oh nuestro Señor!,JUDAS MACABEO,,
221,A Jesús crucificado lo llevaron al jardín,REDIN,,
222,Dios nos envió a su Hijo Cristo,RESURRECTION,,
223,Glorificaremos al Señor,WE WILL GLORIFY,,
224,Al Cristo vivo sirvo y él en el mundo está,ACKLEY,,
225,En la misma hora se levantaron,,,
226,Rey exaltado en gloria es Cristo Jesús,HE IS EXALTED,,
227,¡Victoria! ¡Victoria! Cantemos la gloria,ADESTE FIDELES,,
228,"Venid, adoremos a Cristo el Señor",,,
229,Hoy en gloria celestial,MADRID,,
230,"Yo vivo, Señor, porque tú vives",YO VIVO,,
231,Alabad a Cristo,HICKS,,
232,"Cordero, que bajaste del cielo",TE QUIERO,,
233,"Digno eres, digno eres",WORTHY,,
234,Digno es el Cordero que inmolado fue,HUGG,,
235,A Cristo coronad,DIADEMATA,,
236,"Cristo, Jesucristo maravilloso es Jesús",SWEET JESUS,,
237,Cariñoso Salvador,ABERYSTWYTH,,
238,Al Señor Jesús loemos,ACCLAIM,,
239,"Yo Juan,... estaba en la isla llamada Patmos",,,
240,"Ved al Cristo, Rey de gloria",CROWN HIM,,
241,Loores dad a Cristo el Rey,CORONATION,,
242,"Gloria a Cristo, gloria a Emanuel",ALL HAIL KING JESUS,,
243,Jesús es mi Rey soberano,MI REY Y MI AMIGO,,
244,"Glorioso Cristo, Rey de lo creado",CRUSADER'S HYMN,,
245,En Cristo quien por mí murío,O HOW I LOVE JESUS,,
246,"Cristo, maravilloso eres tú",BOLTON,,
247,En momentos así levanto mi voz,IN MOMENTS LIKE THESE,,
248,"Espíritu de Dios, ¡cuán maravilloso eres!",,,
249,"Santo Espíritu, excelsa paloma",EXCELSA PALOMA,,
250,Yo rogaré al Padre,,,
251,Dios nos ha dado promesa,SHOWERS OF BLESSING,,
252,Habienda oído la palabra de verdad,FUISTEIS SELLADOS,,
253,Doquier el hombre esté,COMFORTER,,
254,"Sed llenos, hermanos",SED LLENOS,,
255,En un aposento alto,TILLMAN,,
256,"Mirad, pues, con cuidado",,,
257,Espíritu de Cristo,CARSON,,
258,Santo Consolador,TRENTHAM,,
259,Espíritu del Trino Dios,IVERSON,,
260,"Transfórmame, Espíritu de Dios",MORECAMBE,,
261,Pero cuando venga el Espíritu de verdad,,,
262,Divino Espíritu de Dios,ST. AGNES,,
263,"Santo Espíritu, controla",FILL ME NOW,,
264,"Oh, divino Espíritu",FLANDERS,,
265,"El fruto del Espíritu es amor, gozo y paz",EL FRUTO DEL ESPIRITU,,
266,"Satúrame, Señor, con tu Espíritu",SATURAME,,
267,Abre mis ojos a la luz,SCOTT,,
268,Lámpara es a mis pies tu palabra,MANAGUA,,
269,"Benditó tú, oh Señor; enséñame tus estatutos",,,
270,"Santa Biblia, para mí",MADRID,,
271,"Los cielos anuncian tus obras, Señor",JOANNA,,
272,¡Cuán firme cimiento se ha dado a la fe,FOUNDATION,,
273,Todas las promesas de Señor Jesús,PROMISES,,
274,"Dame, mi buen Señor, de vida el pan",BREAD OF LIFE,,
275,Nunca se apartará de tu boca,JOSUÉ,,
276,"Padre, tu Palabra es",ALL TO CHRIST,,
277,Tu Palabra es mi cántico,UTATLÁN,,
278,"Gracias damos por la Biblia, tu Palabra es, Señor",,,
279,"Si alguno habla, hable conforme a las palabras de Dios",,,
280,¡Oh! cantádmelas otra vez,WORDS OF LIFE,,
281,La palabra del Señor,JESUS SAVES,,
282,Sembraré la simiente preciosa,WHAT MUST IT BE,,
283,Esdras preparó su corazón,ESDRAS,,
284,"Oh, Verbo encarnado",MUNICH,,
285,"Te doy gracias, Señor, por tu Palabra",,,
286,"Oh, Señor, procuro en vano",BALDERAS,,
287,"Por fe en Jesús, el Salvador",BEULAH LAND,,
288,Por cuanto todos pecaron,GRAJALES,,
289,"Oh, la sangre de Cristo",BLOOD OF JESUS,,
290,Cristo habita en mi corazón,CRISTO HABITA,,
291,Mas Dios muestra su amor,TEGUCIGALPA,,
292,Porque hay un solo Dios,UN DIOS Y MEDIADOR,,
293,"Oh, bondad tan infinita",PRECIOUS NAME,,
294,Cúan profundo es tu amor,CHICAGO,,
295,Dios al mundo amó,LLOYD,,
296,Nuestro Dios nos salvó,PATZICIA,,
297,"A ti me vuelvo, gran Señor que alzaste",,,
298,¿Qué me puede dar perdón?,PLAINFIELD,,
299,Por fe contemplo redención,CLEANSING WAVE,,
300,Sublime gracia del Señor,AMAZING GRACE,,
301,Sabes dónde hay una fuente pura de divino amor,,,
302,Sin Cristo yo no tengo nada,WITHOUT HIM,,
303,¿Vives cansado y triste?,DO YOU KNOW MY JESUS?,,
304,¿Has hallado en Cristo tu buen Salvador?,WASHED IN THE BLOOD,,
305,Ven a los pies de Jesús,VEN A LOS PIES,,
306,Cristo la ruta para tu felicidad,,,
307,Nuestra vida acabará,BE IN TIME,,
308,Tal como soy de pecador,WOODWORTH,,
309,Vagué sediento en el pecado abrumador,LIVING WATER,,
310,"Pecador, ven a Cristo Jesús",SWEET BY AND BY,,
311,¿Quieres ser salvo de toda maldad?,POWER IN THE BLOOD,,
312,A Jesucristo ven sin tardar,COME TO THE SAVIOR,,
313,"Ven amigo a Jesús, pues él murió por ti",VEN AMIGO A JESUS,,
314,Ya mi vida se la debo a Jesús,VIDA NUEVA ENCONTRE,,
315,Eran cien ovejas,VISION PASTORAL,,
316,Con voz benigna te llama Jesús,CALLING TODAY,,
317,"Oh Señor, recíbeme cual soy",RECIBEME,,
318,"A los sedientos, venid a las aguas",RIDER,,
319,Vino una mujer de Samaria a sacar agua,,,
320,Cual la mar hermosa es la paz de Dios,,,
321,"Paz con Dios, busqué ganarla",THE SAVIOR'S PEACE,,
322,Años mi alma en vanidad vivió,CALVARY,,
323,Lejos de mi Padre Dios,NEAR THE CROSS,,
324,"Jamás, jamás mis pecados contará",NO MORE,,
325,En el monte Calvario se vio una cruz,,,
326,Largos años vagué por el valle de mal,OLD RUGGED CROSS,,
327,Hallé un buen amigo,SALVATIONIST,,
328,Solamente en Cristo,SOLAMENTE EN CRISTO,,
329,Fuente de la vida eterna,NETTLETON,,
330,Hay una senda que el mundo no conoce,HAY UNA SENDA,,
331,Con Jesús un día me encontré,TECUN UMAN,,
332,Vagaba por el mundo sin fe,SOY FELIZ,,
333,Una vez perdido vivía yo,A NEW NAME IN GLORY,,
334,Cuán bueno es Dios,GOD IS SO GOOD,,
335,"Dios, que es rico en misericordia",,,
336,Consado y triste vine al Salvador,HE TOOK MY SINS AWAY,,
337,Cuan glorioso es el cambio operado en mi ser,McDANIEL,,
338,"Junto a la cruz, do murió el Salvador",GLORY TO HIS NAME,,
339,Comprado con sangre por Cristo,REDEEMED,,
340,Escogido fui de Dios en al Amado,ESCOGIDO,,
341,Dios nos ha dado vida eterna,VIDA ETERNA,,
342,Un gran Salvador es Jesús el Señor,KIRKPATRICK,,
343,"Yo te bendigo, oh mi Rendentor",EVENTIDE,,
344,No sé por qué la gracia del Señor,EL NATHAN,,
345,Mi fe descansa en Jesús,LANDÅS,,
346,"Del amor divino, ¿quién me apartará?",WYE VALLEY,,
347,Bajo sus alas habito seguro,HINGHAM,,
348,Pues si vivimos,SOMOS DEL SEÑOR,,
